"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20250821EY","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250821EY","300000007912995","LOADED","3","3 document(s) uploaded to ContractId 300000007912995."
"SOW20250825JT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250825JT","300000007915067","LOADED","3","3 document(s) uploaded to ContractId 300000007915067."
"SOW20250825KS","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250825KS","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250828SL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250828SL","300000007914839","LOADED","6","6 document(s) uploaded to ContractId 300000007914839."
"SOW20250901LBCO","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250901LBCO","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250902MC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250902MC","300000007916041","LOADED","3","3 document(s) uploaded to ContractId 300000007916041."
"SOW20250903AZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250903AZ","300000007914809","LOADED","3","3 document(s) uploaded to ContractId 300000007914809."
"SOW20250904am","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250904am","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250905AC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250905AC","300000007914824","LOADED","3","3 document(s) uploaded to ContractId 300000007914824."
"SOW20250905AC-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250905AC-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250908BM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250908BM","300000007916049","LOADED","3","3 document(s) uploaded to ContractId 300000007916049."
"SOW20250908JS","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250908JS","300000007915163","LOADED","3","3 document(s) uploaded to ContractId 300000007915163."
"SOW20250908VK","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250908VK","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW2025090901CH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW2025090901CH","300000007914817","LOADED","1","1 document(s) uploaded to ContractId 300000007914817."
"SOW2025090901CH-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW2025090901CH-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW2025090902CH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW2025090902CH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250909AP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250909AP","300000007915099","LOADED","3","3 document(s) uploaded to ContractId 300000007915099."
"SOW20250909BM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250909BM","300000007914777","LOADED","3","3 document(s) uploaded to ContractId 300000007914777."
"SOW20250909BM-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250909BM-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250909SJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250909SJ","300000007915106","LOADED","3","3 document(s) uploaded to ContractId 300000007915106."
"SOW20250910-01JB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250910-01JB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250910JB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250910JB","300000007916116","LOADED","6","6 document(s) uploaded to ContractId 300000007916116."
"SOW20250911-CCSBA-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911-CCSBA-BH","300000007916075","LOADED","3","3 document(s) uploaded to ContractId 300000007916075."
"SOW20250911-CCSBA-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911-CCSBA-RCH","300000007915083","LOADED","3","3 document(s) uploaded to ContractId 300000007915083."
"SOW20250911EY-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911EY-1","300000007915037","LOADED","3","3 document(s) uploaded to ContractId 300000007915037."
"SOW20250911EY-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911EY-2","300000007914831","LOADED","3","3 document(s) uploaded to ContractId 300000007914831."
"SOW20250911IJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911IJ","300000007916033","LOADED","3","3 document(s) uploaded to ContractId 300000007916033."
"SOW20250911IJ-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911IJ-1","300000007914753","LOADED","3","3 document(s) uploaded to ContractId 300000007914753."
"SOW20250911SL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250911SL","300000007914770","LOADED","3","3 document(s) uploaded to ContractId 300000007914770."
"SOW20250912LC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250912LC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250912MP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250912MP","300000007916082","LOADED","3","3 document(s) uploaded to ContractId 300000007916082."
"SOW20250913LC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250913LC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250915HK","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250915HK","300000007914799","LOADED","3","3 document(s) uploaded to ContractId 300000007914799."
